,score,N005,M018,M096t,M068
2022-01-13,0.5674010942283949,0.14905528341497554,0.7220689655172414,0.8668515950069349,0.5316285329744279
2022-01-14,0.5682748669470841,0.1335664335664336,0.6381805651274983,0.8669438669438669,0.6344086021505376
2022-01-15,0.5342563387310421,0.13626834381551367,0.6356749311294766,0.8254847645429363,0.5395973154362417
2022-01-16,0.5729988709031631,0.244413407821229,0.6214728148657949,0.8671280276816609,0.5589812332439679
2022-01-17,0.7000423412174116,0.5917655268667132,0.7255845942228336,0.8402489626556017,0.642570281124498
2022-01-18,0.5963664488327296,0.34170153417015336,0.6859106529209622,0.8030407740152039,0.5548128342245989
2022-01-19,0.5823475740017992,0.554006968641115,0.6277472527472527,0.8031767955801105,0.3444592790387183
2022-01-20,0.7870223127384444,0.7249303621169916,0.8318462594371997,0.8033126293995859,0.788
2022-01-21,0.8674240744648483,0.977731384829506,0.9307270233196159,0.903448275862069,0.6577896138482024
2022-01-22,0.8642411197412816,0.9798331015299027,0.9396847155586018,0.9682977257064094,0.5691489361702128
2022-01-23,0.820800339144942,0.9541348158443363,0.8321917808219178,0.9869146005509641,0.5099601593625498
2022-01-24,0.8068615627344526,0.9097222222222222,0.7214236824093088,0.9676531314521679,0.6286472148541113
2022-01-25,0.6929234571813492,0.823733518390007,0.70109439124487,0.9779917469050894,0.2688741721854304
2022-01-26,0.5596188792008451,0.2274618585298197,0.7101845522898155,0.8219931271477663,0.47883597883597884
2022-01-27,0.6089345130263769,0.07969507969507972,0.6564207650273224,0.8832417582417582,0.8163804491413474
2022-01-28,0.6108095829702804,0.12257617728531855,0.6068259385665529,0.7995881949210707,0.9142480211081794
2022-01-29,0.5178462015556531,0.1252595155709343,0.5429740791268758,0.7997256515775034,0.6034255599472991
2022-01-30,0.484285552886249,0.1728907330567082,0.5725971370143149,0.7100753941055518,0.4815789473684211
2022-01-31,0.5759779216107506,0.11264685556323428,0.5245231607629428,0.8835616438356164,0.783180026281209
2022-02-01,0.4830882784735065,0.13190607734806625,0.5078284547311096,0.7611225188227242,0.5314960629921259
2022-02-02,0.5649734035474345,0.4582470669427191,0.6761904761904762,0.725718194254446,0.39973787680209694
2022-02-03,0.5950054877469517,0.47448275862068967,0.5125764785859959,0.8838004101161996,0.5091623036649215
2022-02-04,0.3304842276790788,0.042039972432804995,0.015625,0.8838797814207651,0.3803921568627451
2022-02-05,0.3857443792290376,0.07300275482093666,0.06788866259334692,0.6566552901023891,0.7454308093994778
2022-02-06,0.37815189427539475,0.05299380591878866,0.02985074626865669,0.6214188267394269,0.8083441981747066
2022-02-07,0.28425236562803113,0.011004126547455306,0.09152542372881356,0.4342194955691888,0.6002604166666667
2022-02-08,0.30598557345906485,0.019243986254295575,0.19241192411924124,0.41280653950953683,0.5994798439531859
2022-02-09,0.23934306882879317,0.14491758241758246,0.13540961408259988,0.34717494894486045,0.32987012987012987
2022-02-10,0.3853627157064079,0.20590253946465342,0.30311231393775373,0.38911564625850337,0.6433203631647211
2022-02-11,0.42550881116482886,0.4636488340192044,0.40973630831643004,0.389530931339225,0.43911917098445596
2022-02-12,0.5156795331920154,0.6778615490061686,0.4304054054054054,0.4538043478260869,0.500646830530401
2022-02-13,0.47867941698718497,0.7171232876712329,0.4449696151249156,0.45417515274949083,0.29844961240310075
2022-02-14,0.5089511605429609,0.6974674880219027,0.3954116059379217,0.4280868385345997,0.5148387096774194
2022-02-15,0.3269093956078958,0.32626538987688103,0.17532029669588667,0.42847457627118646,0.37757731958762886
2022-02-16,0.40390047869551104,0.2740943267259057,0.26549865229110514,0.3733062330623306,0.7027027027027026
2022-02-17,0.6527352195830738,0.7015027322404371,0.6484848484848484,0.3676371022342586,0.8933161953727506
2022-02-18,0.6856675453654438,0.7481228668941979,0.9549125168236877,0.6968876860622463,0.3427471116816432
2022-02-19,0.7466460623106631,0.781718963165075,0.9428379287155346,0.7748478701825557,0.4871794871794872
2022-02-20,0.7387980712765807,0.9475119291070211,0.9811827956989247,0.7486486486486487,0.27784891165172854
2022-02-21,0.8630583195835559,0.9604904632152589,0.9966420416386836,0.775151924375422,0.7199488491048593
2022-02-22,0.7834896298894896,0.7215793056501021,0.8476510067114094,0.8852901484480432,0.6794380587484036
2022-02-23,0.6916666721179274,0.7721088435374149,0.9429912810194501,0.7747808496291302,0.2767857142857143
2022-02-24,0.6527311263083967,0.6322229775662814,0.6648793565683646,0.8221024258760108,0.49171974522292994
2022-02-25,0.5215447775001283,0.26154891304347827,0.5740120562625586,0.7468013468013468,0.5038167938931297
2022-02-26,0.531823673977183,0.14392396469789548,0.5863453815261044,0.7604306864064603,0.636594663278272
2022-02-27,0.6946057841060247,0.47421981004070557,0.7250836120401338,0.7605917955615333,0.8185279187817259
2022-02-28,0.3865470503855152,0.026440677966101722,0.2005347593582888,0.885752688172043,0.4334600760456274
2022-03-01,0.1630894062864157,0.03252032520325199,0.0547762191048764,0.37139019476158497,0.1936708860759494
2022-03-02,0.24069429010672752,0.07041299932295197,0.16822429906542058,0.3651006711409396,0.35903919089759795
2022-03-03,0.3771745133127378,0.128552097428958,0.3155436957971981,0.5734406438631791,0.49116161616161613
2022-03-04,0.4571170728059808,0.28532792427315756,0.614,0.6554959785522788,0.2736443883984867
2022-03-05,0.6936029163102942,0.8445945945945946,0.5856095936042638,0.8379102478231748,0.5062972292191436
2022-03-06,0.7455529223902457,0.9291019581363943,0.6817576564580559,0.8380187416331994,0.5333333333333333
2022-03-07,0.8023050251188013,0.9244264507422402,0.7159015302727878,0.8214046822742475,0.7474874371859297
2022-03-08,0.7877076950365646,0.8354686446392448,0.644281914893617,0.8643048128342246,0.8067754077791719
2022-03-09,0.4632950128654101,0.17048517520215634,0.3588039867109635,0.8376753507014028,0.48621553884711777
2022-03-10,0.6216395717382798,0.47811447811447816,0.7543160690571049,0.7209612817089452,0.5331664580725908
2022-03-11,0.6848633138712359,0.4434724091520862,0.8380889183808892,0.837891927951968,0.62
2022-03-12,0.6845794575449202,0.3860121049092132,0.8289124668435013,0.838,0.6853932584269663
2022-03-13,0.846577036148867,0.6155913978494624,0.9595758780649437,0.8647568287808127,0.9463840399002493
2022-03-14,0.7330020127734287,0.7521826729348556,0.7357615894039735,0.8189081225033289,0.6251556662515567
2022-03-15,0.7149754013000555,0.4879194630872483,0.786896095301125,0.8649367930805056,0.7201492537313433
2022-03-16,0.44949929646057385,0.2025486250838363,0.4834656084656085,0.7952127659574468,0.31677018633540377
2022-03-17,0.5341241427832872,0.22855227882037532,0.356906807666887,0.7408637873754154,0.8101736972704715
2022-03-18,0.44649761348226674,0.10515740120562622,0.19749009247027738,0.7695883134130146,0.7137546468401488
2022-03-19,0.3739571485949932,0.2115127175368139,0.08184818481848188,0.7173191771731917,0.48514851485148514
2022-03-20,0.439669584469719,0.2702341137123746,0.3007915567282322,0.6783819628647214,0.5092707045735476
2022-03-21,0.5631799843146303,0.5213903743315508,0.3645352669742914,0.6865473823724321,0.6802469135802469
2022-03-22,0.3910057717174007,0.35136940547762197,0.2239789196310935,0.7556291390728477,0.2330456226880394
2022-03-23,0.45899744590776903,0.40921228304405877,0.1000658327847268,0.6776968894771674,0.6490147783251232
2022-03-24,0.3194250832911037,0.3415610406937959,0.02631578947368418,0.5383597883597884,0.37146371463714634
2022-03-25,0.2842388558259472,0.20599999999999996,0.12163050624589089,0.4137475214805023,0.3955773955773956
2022-03-26,0.3853665092053874,0.17321785476349105,0.09001314060446786,0.3665785997357992,0.9116564417177914
2022-03-27,0.2816867760895409,0.12450066577896135,0.006565988181221227,0.3927392739273927,0.6029411764705883
2022-03-28,0.20120499971225742,0.14371257485029942,0.12467191601049865,0.2757255936675461,0.26070991432068547
2022-03-29,0.2662981769001416,0.21409574468085102,0.09836065573770492,0.30652603823335534,0.44621026894865523
2022-03-30,0.4010891890654138,0.28903654485049834,0.18676277850589773,0.3214756258234519,0.8070818070818071
2022-03-31,0.4086599486798189,0.49734395750332006,0.38506876227897835,0.3607636603028308,0.39146341463414636
2022-04-01,0.4190411701027179,0.6781685467816855,0.30628272251308897,0.38355263157894737,0.3081607795371498
2022-04-02,0.4641707793971148,0.7586206896551724,0.36363636363636365,0.36094674556213013,0.37347931873479323
2022-04-03,0.5184069898856152,0.7249834327369118,0.2947712418300653,0.40867279894875164,0.6452004860267315
2022-04-04,0.419636953792314,0.6662251655629139,0.2834748530372305,0.36112934996717005,0.36771844660194175
2022-04-05,0.4602691501500155,0.6095301125082726,0.47584856396866837,0.34842519685039375,0.40727272727272723
2022-04-06,0.652705600335174,0.8677248677248677,0.9373776908023483,0.4098360655737705,0.39588377723970947
2022-04-07,0.7442484097456541,0.8175809649702578,0.9185136897001304,0.6363040629095675,0.6045949214026602
2022-04-08,0.8056654646911301,0.9075297225891678,0.9954397394136808,0.6155861165684349,0.7041062801932367
2022-04-09,0.8382606435446204,0.8924092409240925,0.9348958333333334,0.6897905759162304,0.8359469240048251
2022-04-10,0.7737795048708492,0.8614775725593667,0.9876382563435263,0.6363636363636364,0.6096385542168674
2022-04-11,0.7030459952132715,0.8833223467369808,0.9928478543563068,0.6640522875816993,0.27196149217809873
2022-04-12,0.8562580817633779,0.8577075098814229,0.9343729694606888,0.8889614630960156,0.7439903846153846
2022-04-13,0.6301333391024304,0.6471362738643844,0.8136363636363636,0.7728459530026109,0.28691476590636256
2022-04-14,0.7776337182543548,0.8197368421052631,0.9435431537962362,0.7201565557729941,0.6270983213429256
2022-04-15,0.8106217759777027,0.7094017094017093,0.8754863813229572,0.8396349413298566,0.8179640718562874
2022-04-16,0.6105209755544732,0.3633377135348226,0.899546338302009,0.7198697068403909,0.4593301435406698
2022-04-17,0.7165770954436494,0.5377544320420223,0.9740932642487047,0.7200520833333333,0.6344086021505376
2022-04-18,0.7326062919331959,0.5334645669291338,0.7812297734627831,0.7983083929733247,0.8174224343675418
2022-04-19,0.529403790121096,0.2773770491803279,0.6209573091849936,0.742522756827048,0.47675804529201427
2022-04-20,0.6277619315440275,0.3892529488859764,0.5255332902391726,0.7426900584795322,0.8535714285714285
2022-04-21,0.6135135223052763,0.5029469548133596,0.6886304909560723,0.7428571428571429,0.5196195005945303
2022-04-22,0.7616923075413589,0.5281413612565444,0.7998708844415752,0.7579493835171967,0.9608076009501187
2022-04-23,0.7247071925164682,0.7482014388489209,0.8522580645161291,0.7989623865110247,0.4994068801897983
2022-04-24,0.7523458968251624,0.8143790849673203,0.8343004513217279,0.7990926766040182,0.561611374407583
2022-04-25,0.6600616697368628,0.6903984323971261,0.5670103092783505,0.8218911917098446,0.5609467455621302
2022-04-26,0.8192723561721955,0.8368146214099217,0.9568576947842885,0.7411003236245954,0.7423167848699763
2022-04-27,0.7844299916568125,0.6118721461187215,0.7522522522522522,0.8680465717981889,0.9055489964580874
2022-04-28,0.5673086039950321,0.47588005215123863,0.6565916398713827,0.7983193277310925,0.33844339622641506
2022-04-29,0.8172065780499607,0.6592833876221498,0.8714652956298201,0.8217054263565892,0.9163722025912838
2022-04-30,0.866711405980308,0.8743489583333334,0.9987154784842646,0.8902517753389283,0.703529411764706
2022-05-01,0.6481639332027569,0.4072869225764476,0.8459563543003851,0.84,0.49941245593419503
