,score,O102,O103,O080,M115,M106,M107,M109,M110,M105,M015,N003,O046,O049,O113,O115,M096,M088,O066,N004
1962-01-24,,,,,,,,,,0.9668508287292817,,,,,,,,,,
1962-01-25,,,,,,,,,,0.9655172413793104,,,,,,,,,,
1962-01-26,,,,,,,,,,0.9641873278236914,,,,,,,,,,
1962-01-27,,,,,,,,,,0.9628610729023384,,,,,,,,,,
1962-01-28,,,,,,,,,,0.9615384615384616,,,,,,,,,,
1962-01-29,,,,,,,,,,0.9602194787379973,,,,,,,,,,
1962-01-30,,,,,,,,,,0.958904109589041,,,,,,,,,,
1962-01-31,,,,,,,,,,1.0,,,,,,,,,,
1962-02-01,,,,,,,,,,0.9986338797814208,,,,,,,,,,
1962-02-02,,,,,,,,,,0.9972714870395635,,,,,,,,,,
1962-02-03,,,,,,,,,,0.9959128065395095,,,,,,,,,,
1962-02-04,,,,,,,,,,0.9945578231292517,,,,,,,,,,
1962-02-05,,,,,,,,,,0.9932065217391305,,,,,,,,,,
1962-02-06,,,,,,,,,,0.9918588873812755,,,,,,,,,,
1962-02-07,,,,,,,,,,0.9905149051490515,,,,,,,,,,
1962-02-08,,,,,,,,,,0.9891745602165088,,,,,,,,,,
1962-02-09,,,,,,,,,,0.9878378378378379,,,,,,,,,,
1962-02-10,,,,,,,,,,0.9865047233468286,,,,,,,,,,
1962-02-11,,,,,,,,,,0.9851752021563343,,,,,,,,,,
1962-02-12,,,,,,,,,,0.9838492597577388,,,,,,,,,,
1962-02-13,,,,,,,,,,0.9825268817204301,,,,,,,,,,
1962-02-14,,,,,,,,,,0.9812080536912752,,,,,,,,,,
1962-02-15,,,,,,,,,,0.9798927613941019,,,,,,,,,,
1962-02-16,,,,,,,,,,0.9785809906291834,,,,,,,,,,
1962-02-17,,,,,,,,,,0.9772727272727273,,,,,,,,,,
1962-02-18,,,,,,,,,,0.9759679572763685,,,,,,,,,,
1962-02-19,,,,,,,,,,0.9746666666666667,,,,,,,,,,
1962-02-20,,,,,,,,,,0.9733688415446072,,,,,,,,,,
1962-02-21,,,,,,,,,,0.9720744680851063,,,,,,,,,,
1962-02-22,,,,,,,,,,0.9707835325365206,,,,,,,,,,
1962-02-23,,,,,,,,,,0.9694960212201591,,,,,,,,,,
1962-02-24,,,,,,,,,,0.9682119205298013,,,,,,,,,,
1962-02-25,,,,,,,,,,0.966931216931217,,,,,,,,,,
