fid,name,system,sign,price,horizon,window,slice,n,n_eff,ic,lo,hi,signed_ic,sign_ok,ci_excludes_0,status
O072,Puell Multiple,cycle,-1,cm,90,dev,ex_2020-03_2022-01,3303,36.7,0.0468,-0.1741,0.2632,-0.0468,False,False,ok
O072,Puell Multiple,cycle,-1,cm,90,dev,ex_2017,3640,40.4,-0.0935,-0.291,0.0996,0.0935,True,False,ok
O072,Puell Multiple,cycle,-1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,180,dev,full,4005,22.2,-0.0225,-0.2831,0.1656,0.0225,True,False,ok
O072,Puell Multiple,cycle,-1,cm,180,dev,ex_2020-03_2022-01,3123,17.4,0.0827,-0.1772,0.303,-0.0827,False,False,ok
O072,Puell Multiple,cycle,-1,cm,180,dev,ex_2017,3460,19.2,-0.0743,-0.3637,0.1608,0.0743,True,False,ok
O072,Puell Multiple,cycle,-1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,365,dev,full,3820,10.5,-0.2246,-0.474,0.0164,0.2246,True,False,ok
O072,Puell Multiple,cycle,-1,cm,365,dev,ex_2020-03_2022-01,2784,7.6,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,365,dev,ex_2017,3090,8.5,-0.2384,-0.5615,0.0193,0.2384,True,False,ok
O072,Puell Multiple,cycle,-1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
O013,Mcap / thermocap,cycle,-1,cm,1,dev,full,4548,4548.0,-0.0031,-0.032,0.025,0.0031,True,False,ok
O013,Mcap / thermocap,cycle,-1,cm,1,dev,ex_2020-03_2022-01,3845,3845.0,-0.0009,-0.0378,0.0348,0.0009,True,False,ok
O013,Mcap / thermocap,cycle,-1,cm,1,dev,ex_2017,4182,4182.0,-0.0137,-0.0434,0.0157,0.0137,True,False,ok
O013,Mcap / thermocap,cycle,-1,cm,1,dev,since_2022,364,364.0,-0.0664,-0.1407,-0.0024,0.0664,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,1,holdout,full,1329,1329.0,-0.0322,-0.0732,0.0005,0.0322,True,False,ok
O013,Mcap / thermocap,cycle,-1,cm,7,dev,full,4542,648.9,-0.0503,-0.1297,0.0124,0.0503,True,False,ok
O013,Mcap / thermocap,cycle,-1,cm,7,dev,ex_2020-03_2022-01,3833,547.6,-0.0523,-0.1257,0.0196,0.0523,True,False,ok
O013,Mcap / thermocap,cycle,-1,cm,7,dev,ex_2017,4170,595.7,-0.0806,-0.1466,-0.0218,0.0806,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,7,dev,since_2022,358,51.1,-0.1809,-0.3557,-0.0416,0.1809,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,7,holdout,full,1323,189.0,-0.1049,-0.1908,-0.0185,0.1049,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,30,dev,full,4519,150.6,-0.133,-0.2488,-0.0147,0.133,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,30,dev,ex_2020-03_2022-01,3787,126.2,-0.1442,-0.2643,-0.0319,0.1442,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,30,dev,ex_2017,4124,137.5,-0.1753,-0.3016,-0.0748,0.1753,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
O013,Mcap / thermocap,cycle,-1,cm,30,holdout,full,1300,43.3,-0.2892,-0.4296,-0.1192,0.2892,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,90,dev,full,4459,49.5,-0.2429,-0.4032,-0.0815,0.2429,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,90,dev,ex_2020-03_2022-01,3667,40.7,-0.2388,-0.413,-0.0835,0.2388,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,90,dev,ex_2017,4004,44.5,-0.3039,-0.4595,-0.1633,0.3039,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
O013,Mcap / thermocap,cycle,-1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
O013,Mcap / thermocap,cycle,-1,cm,180,dev,full,4369,24.3,-0.3586,-0.5338,-0.1471,0.3586,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,180,dev,ex_2020-03_2022-01,3487,19.4,-0.2883,-0.5268,-0.0671,0.2883,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,180,dev,ex_2017,3824,21.2,-0.4139,-0.5856,-0.2173,0.4139,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
O013,Mcap / thermocap,cycle,-1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
O013,Mcap / thermocap,cycle,-1,cm,365,dev,full,4184,11.5,-0.5288,-0.7327,-0.2652,0.5288,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,365,dev,ex_2020-03_2022-01,3148,8.6,-0.4202,-0.6964,-0.098,0.4202,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,365,dev,ex_2017,3454,9.5,-0.5347,-0.7124,-0.3199,0.5347,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
O013,Mcap / thermocap,cycle,-1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
O011,Realized cap 90d change,cycle,1,cm,1,dev,full,4458,4458.0,0.0537,0.0216,0.0788,0.0537,True,True,ok
O011,Realized cap 90d change,cycle,1,cm,1,dev,ex_2020-03_2022-01,3755,3755.0,0.0624,0.031,0.099,0.0624,True,True,ok
